category,total_playlists,evaluated,r_precision_mean,r_precision_std,ndcg_mean,ndcg_std
3_title_5tracks,1000,100,0.06,0.23748684174075835,0.2229498427257181,0.25144098613669547
4_notitle_5tracks,1000,100,0.09,0.2861817604250837,0.2635355984358233,0.28303627875083043
5_title_10tracks,1000,100,0.11,0.25079872407968906,0.2933041352606204,0.246561894757527
6_notitle_10tracks,1000,100,0.13,0.27037011669191546,0.3031756852981291,0.253541966419023
7_title_25tracks,2000,100,0.114,0.18602150413325874,0.3177316453098669,0.17654603114885964
8_title_100tracks,2000,100,0.15899999999999997,0.15172013709458612,0.4695982933525849,0.16116891758404972
